id,table_name,field_name
1,user_info,profile_for_code
2,user_info,login_name
3,user_info,email
4,user_info,ref_no
5,user_info,mobile_no
6,user_info,profile_for_code
7,user_info,gender_code
8,user_info,date_birth
9,user_info,birth_time
10,user_info,birth_place
11,user_info,marital_status_code
12,user_info,Physical_status_code
13,user_info,height_code
14,user_info,weight_code
15,user_info,nakshatra_code
16,user_info,padam
17,user_info,rasi_code
18,user_info,lagnam_code
19,user_info,kulam
20,user_info,gothram
21,user_info,dosham_code
22,user_info,edu_code
23,user_info,edu_detail
24,user_info,emp_type_code
25,user_info,emp_detail
26,user_info,monthly_income
27,user_info,father_name
28,user_info,father_status_code
29,user_info,father_occupation
30,user_info,mother_name
31,user_info,mother_status_code
32,user_info,mother_occupation
33,user_info,brother_married
34,user_info,brother_unmarried
35,user_info,sister_married
36,user_info,sister_unmarried
37,user_info,prop_details
38,user_info,prop_value
39,user_info,prem_address
40,user_info,pres_address
41,user_info,secondary_email
42,user_info,secondary_mobile_no
43,user_info,expectation
44,user_info,photo
45,user_info,photo_in_profile
46,user_info,plan_code
47,user_info,ip_address
48,user_info,gender_comm
49,user_info,user_comm
50,user_info,profile_key
51,user_info,add_by
52,user_info,viewed_profile
53,user_info,pending_viewed
54,user_info,is_data
55,user_info,profile_is_active
56,user_info,profile_active_note
57,user_info,is_request_upgrade
58,user_info,photo_I
59,user_info,photo_II
60,user_info,current_puid
61,user_info,tot_consolidated_view
62,user_info,rk_dosham_code
